1/0: cDist = 9; avg = 9
2/12: cDist = 9.43398; avg = 13.313
3/12: cDist = 6.40312; avg = 9.85804
4/12: cDist = 7.2111; avg = 8.53457
5/12: cDist = 13.6015; avg = 11.068
6/12: cDist = 4.24264; avg = 7.65533
7/12: cDist = 9.48683; avg = 8.57108
8/12: cDist = 2.23607; avg = 5.40357
9/12: cDist = 4.47214; avg = 4.93786
10/12: cDist = 34.0147; avg = 19.4763
11/12: cDist = 2.23607; avg = 10.8562
13/12: cDist = 15.2315; avg = 13.0439
14/12: cDist = 42.5793; avg = 27.8116
15/12: cDist = 14.7648; avg = 21.2882
16/12: cDist = 41.7732; avg = 31.5307
17/12: cDist = 13.6015; avg = 22.5661
18/12: cDist = 41.9762; avg = 32.2711
19/12: cDist = 13.4536; avg = 22.8624
20/12: cDist = 38.3275; avg = 30.595
21/12: cDist = 12.2066; avg = 21.4008
22/12: cDist = 46.3249; avg = 33.8628
0/13: cDist = 16.2788; avg = 25.0708
1/13: cDist = 12.1655; avg = 18.6182
2/13: cDist = 12.53; avg = 15.5741
3/13: cDist = 21.4709; avg = 18.5225
4/13: cDist = 12.8062; avg = 15.6644
5/13: cDist = 10.0499; avg = 12.8571
6/13: cDist = 14.2127; avg = 13.5349
7/13: cDist = 10.2956; avg = 11.9153
8/13: cDist = 17; avg = 14.4576
9/13: cDist = 12.8062; avg = 13.6319
10/13: cDist = 48.5077; avg = 31.0698
11/13: cDist = 13.8924; avg = 22.4811
12/13: cDist = 15.2315; avg = 18.8563
14/13: cDist = 56.0089; avg = 37.4326
15/13: cDist = 1.41421; avg = 19.4234
16/13: cDist = 55.0364; avg = 37.2299
17/13: cDist = 3.60555; avg = 20.4177
18/13: cDist = 55.0818; avg = 37.7497
19/13: cDist = 5; avg = 21.3749
20/13: cDist = 51.1566; avg = 36.2657
21/13: cDist = 8.06226; avg = 22.164
22/13: cDist = 59.2115; avg = 40.6877
0/14: cDist = 46.8402; avg = 43.7639
1/14: cDist = 55.5428; avg = 49.6534
2/14: cDist = 51.4198; avg = 50.5366
3/14: cDist = 38.6005; avg = 44.5686
4/14: cDist = 49.2443; avg = 46.9064
5/14: cDist = 56.0892; avg = 51.4978
6/14: cDist = 46.0977; avg = 48.7978
7/14: cDist = 51.9711; avg = 50.3845
8/14: cDist = 41.9762; avg = 46.1803
9/14: cDist = 46.8722; avg = 46.5262
10/14: cDist = 11.3137; avg = 28.92
11/14: cDist = 44.7214; avg = 36.8207
12/14: cDist = 42.5793; avg = 39.7
13/14: cDist = 56.0089; avg = 47.8545
15/14: cDist = 55; avg = 51.4272
16/14: cDist = 1.41421; avg = 26.4207
17/14: cDist = 53.0094; avg = 39.7151
18/14: cDist = 2.23607; avg = 20.9756
19/14: cDist = 52.0384; avg = 36.507
20/14: cDist = 5.83095; avg = 21.169
21/14: cDist = 49.0918; avg = 35.1304
22/14: cDist = 5; avg = 20.0652
0/15: cDist = 16.4012; avg = 18.2332
1/15: cDist = 13.0384; avg = 15.6358
2/15: cDist = 13; avg = 14.3179
3/15: cDist = 21.095; avg = 17.7065
4/15: cDist = 13.0384; avg = 15.3724
5/15: cDist = 11; avg = 13.1862
6/15: cDist = 14.1421; avg = 13.6642
7/15: cDist = 10.7703; avg = 12.2173
8/15: cDist = 16.6433; avg = 14.4303
9/15: cDist = 12.7279; avg = 13.5791
10/15: cDist = 47.676; avg = 30.6275
11/15: cDist = 13.6015; avg = 22.1145
12/15: cDist = 14.7648; avg = 18.4397
13/15: cDist = 1.41421; avg = 9.92694
14/15: cDist = 55; avg = 32.4635
16/15: cDist = 54.0093; avg = 43.2364
17/15: cDist = 2.23607; avg = 22.7362
18/15: cDist = 54.037; avg = 38.3866
19/15: cDist = 3.60555; avg = 20.9961
20/15: cDist = 50.0899; avg = 35.543
21/15: cDist = 6.7082; avg = 21.1256
22/15: cDist = 58.1378; avg = 39.6317
0/16: cDist = 46.1736; avg = 42.9026
1/16: cDist = 54.8179; avg = 48.8603
2/16: cDist = 50.6952; avg = 49.7777
3/16: cDist = 37.9473; avg = 43.8625
4/16: cDist = 48.5077; avg = 46.1851
5/16: cDist = 55.3173; avg = 50.7512
6/16: cDist = 45.3542; avg = 48.0527
7/16: cDist = 51.1957; avg = 49.6242
8/16: cDist = 41.2311; avg = 45.4276
9/16: cDist = 46.0977; avg = 45.7627
10/16: cDist = 11.4018; avg = 28.5822
11/16: cDist = 43.9318; avg = 36.257
12/16: cDist = 41.7732; avg = 39.0151
13/16: cDist = 55.0364; avg = 47.0257
14/16: cDist = 1.41421; avg = 24.22
15/16: cDist = 54.0093; avg = 39.1146
17/16: cDist = 52; avg = 45.5573
18/16: cDist = 1; avg = 23.2787
19/16: cDist = 51.0098; avg = 37.1442
20/16: cDist = 4.47214; avg = 20.8082
21/16: cDist = 48.0416; avg = 34.4249
22/16: cDist = 5; avg = 19.7125
0/17: cDist = 16.1245; avg = 17.9185
1/17: cDist = 14.0357; avg = 15.9771
2/17: cDist = 13.3417; avg = 14.6594
3/17: cDist = 20; avg = 17.3297
4/17: cDist = 13; avg = 15.1648
5/17: cDist = 12.1655; avg = 13.6652
6/17: cDist = 13.6015; avg = 13.6333
7/17: cDist = 11.1803; avg = 12.4068
8/17: cDist = 15.6205; avg = 14.0137
9/17: cDist = 12.2066; avg = 13.1101
10/17: cDist = 45.8912; avg = 29.5006
11/17: cDist = 12.7279; avg = 21.1143
12/17: cDist = 13.6015; avg = 17.3579
13/17: cDist = 3.60555; avg = 10.4817
14/17: cDist = 53.0094; avg = 31.7456
15/17: cDist = 2.23607; avg = 16.9908
16/17: cDist = 52; avg = 34.4954
18/17: cDist = 52.0096; avg = 43.2525
19/17: cDist = 1.41421; avg = 22.3334
20/17: cDist = 48.0416; avg = 35.1875
21/17: cDist = 4.47214; avg = 19.8298
22/17: cDist = 56.0803; avg = 37.9551
0/18: cDist = 46.4866; avg = 42.2208
1/18: cDist = 55.0818; avg = 48.6513
2/18: cDist = 50.9608; avg = 49.806
3/18: cDist = 38.2753; avg = 44.0407
4/18: cDist = 48.7647; avg = 46.4027
5/18: cDist = 55.5428; avg = 50.9727
6/18: cDist = 45.607; avg = 48.2899
7/18: cDist = 51.4198; avg = 49.8549
8/18: cDist = 41.4849; avg = 45.6699
9/18: cDist = 46.3249; avg = 45.9974
10/18: cDist = 12.2066; avg = 29.102
11/18: cDist = 44.1475; avg = 36.6247
12/18: cDist = 41.9762; avg = 39.3005
13/18: cDist = 55.0818; avg = 47.1911
14/18: cDist = 2.23607; avg = 24.7136
15/18: cDist = 54.037; avg = 39.3753
16/18: cDist = 1; avg = 20.1877
17/18: cDist = 52.0096; avg = 36.0986
19/18: cDist = 51; avg = 43.5493
20/18: cDist = 4.12311; avg = 23.8362
21/18: cDist = 48.0104; avg = 35.9233
22/18: cDist = 4.47214; avg = 20.1977
0/19: cDist = 16.5529; avg = 18.3753
1/19: cDist = 15.1327; avg = 16.754
2/19: cDist = 14.1421; avg = 15.4481
3/19: cDist = 19.8494; avg = 17.6488
4/19: cDist = 13.6015; avg = 15.6251
5/19: cDist = 13.3417; avg = 14.4834
6/19: cDist = 13.8924; avg = 14.1879
7/19: cDist = 12.0416; avg = 13.1148
8/19: cDist = 15.5563; avg = 14.3356
9/19: cDist = 12.53; avg = 13.4328
10/19: cDist = 45.1221; avg = 29.2774
11/19: cDist = 12.8062; avg = 21.0418
12/19: cDist = 13.4536; avg = 17.2477
13/19: cDist = 5; avg = 11.1239
14/19: cDist = 52.0384; avg = 31.5812
15/19: cDist = 3.60555; avg = 17.5934
16/19: cDist = 51.0098; avg = 34.3016
